Restaurant_ID,Restaurant.Name,City,Address,Locality,Longitude,Latitude,Cuisines,Average_Cost_for_two,Has_Table_booking,Has_Online_delivery,Is_delivering_now,Aggregate_rating,Votes,top_dishes
3400326,Tea'se Me - Rooftop Tea Boutique,Agra,"Near Purani Mandi Crossing,Fatehabad Road, Tajganj, Agra",Tajganj,0.0,0.0,"Chinese, Italian, Continental, North Indian",1000,No,No,No,4.2,166,"['Chow Mein', 'Mapo Tofu', ""General Tso's Chicken"", 'Osso Buco', 'Panini']"
3400392,Thaaliwala,Agra,"Next To ITC Mughal Hotel, Fatehabad Road, Tajganj, Agra",Tajganj,78.045359,27.158822,"North Indian, Fast Food",700,No,No,No,4.1,168,"['Kadai Paneer', 'Chicken Tikka Masala', 'Paneer Tikka', 'Onion Rings', 'Pizza']"
111895,650 - The Global Kitchen,Ahmedabad,"Shreekunj Mandapam, Beside Golden Tulip Bunglows & Tulip Citadel, Manekbaug, Ambavadi, Ahmedabad",Ambavadi,72.5375741,23.01045111,"Chinese, Italian, North Indian, Mexican, Mediterranean, Thai",900,No,No,No,4.2,1582,"['Fried Rice', 'Chilli Chicken', 'Carbonara', 'Panna Cotta', 'Lassi']"
110502,Patang - The Revolving Restaurant,Ahmedabad,"Chinubhai Tower, Nehru Bridge Corner, Ashram Road, Ahmedabad",Ashram Road,72.572009,23.0261651,"Continental, Chinese, North Indian",1800,No,No,No,3.7,1315,"['Fried Chicken', 'Ratatouille', 'Hot and Sour Soup', 'Sesame Chicken', 'Rogan Josh']"
18396250,Huber & Holly,Ahmedabad,"7 B, Circle  B, Opposite Rajpath Club, Sarkhej, Gandhinagar Highway, Bodakdev, Ahmedabad",Bodakdev,72.5123947,23.0383109,"Ice Cream, Desserts, Continental",300,No,Yes,No,4.5,217,"['Cookies and Cream', 'Neapolitan', 'Basundi', 'Gulab Jamun', 'Ratatouille']"
113702,@Mango,Ahmedabad,"Opposite Sindhu Bhawan, Bodakdev, Ahmedabad",Bodakdev,72.5017644,23.0401633,"North Indian, Continental, Mexican, Italian",800,No,No,No,4.1,769,"['Pani Puri', 'Rajma', 'Tandoori Chicken', 'Caesar Salad', 'Risotto']"
113433,Fozzie's Pizzaiolo,Ahmedabad,"Ground Floor, Maruti Crystal, Opposite Rajpath Club, Service Road, Bodakdev, Ahmedabad",Bodakdev,72.5098065,23.0330688,"Pizza, Italian, Beverages, Desserts",900,No,Yes,No,4.3,731,"['Mushroom', 'Sicilian', 'White Pizza', 'Lasagna', 'Arancini']"
18438909,La Pino'z Pizza,Ahmedabad,"Shop 10,  Circle B, Nyay Marg, Bodakdev, Ahmedabad",Bodakdev,72.5124872,23.0382314,"Pizza, Italian",500,No,Yes,No,4.4,113,"['Tandoori Chicken', 'Spinach and Feta', 'Vegetarian', 'Focaccia', 'Minestrone Soup']"
18143128,Mocha,Ahmedabad,"6-9, Ground Floor, Devashish Business Park, Opposite Krishna Complex, Bodakdev, Ahmedabad",Bodakdev,72.511307,23.0318508,"Cafe, Continental, Desserts",1000,No,Yes,No,4.4,944,"['Cappuccino', 'Turkish Coffee', 'Coq au Vin', 'Moussaka', 'Peda']"
18438944,Blue -  Rooftop Cafe Restaurant Bistro,Ahmedabad,"10th Floor, Balaji Heights Buliding, Behind Tanishq Showroom, C G Road, Ahmedabad",C G Road,72.5570374,23.0290619,"North Indian, Cafe, Italian, Mexican, Continental",1000,No,Yes,No,3.8,63,"['Pav Bhaji', 'Chole Bhature', 'Turkish Coffee', 'Red Eye', 'Risotto']"
110436,MoMo Cafí© - Courtyard By Marriott,Ahmedabad,"Courtyard By Marriott, Ramdevnagar Cross Road, Satellite, Ahmedabad",Courtyard By Marriott,72.5115815,23.027929,"North Indian, South Indian, Asian, Continental",1400,No,No,No,3.6,375,"['Tandoori Chicken', 'Rogan Josh', 'Lassi', 'Puttu', 'Medu Vada']"
18385201,Cryo Lab,Ahmedabad,"Ground Floor, Arjun Avenue, Opposite Samartheshwar Mahadev, Law Garden, Ahmedabad",Ellis Bridge,72.55998429,23.02874796,"Desserts, Ice Cream",350,No,No,No,4.6,166,"['Rasgulla', 'Barfi', 'Basundi', 'Neapolitan', 'Rocky Road']"
110395,Swati Snacks,Ahmedabad,"Near Law Garden, Ellis Bridge, Ahmedabad",Ellis Bridge,72.55903311,23.02443364,"Fast Food, Street Food, South Indian",450,No,No,No,4.4,697,"['Donuts', 'Pizza', 'Tacos', 'Momos', 'Kozhikode Biryani']"
18335583,Brick Kitchen,Ahmedabad,"At Five Petals Hotel & Banquets, Near Chanakyapuri Bridge, Ghatlodia, Ahmedabad",Ghatlodia,72.5316389,23.0643038,"North Indian, Chinese, Continental",900,No,No,No,4.3,325,"['Pav Bhaji', 'Rajma', 'Kung Pao Chicken', 'Chilli Chicken', 'Greek Salad']"
110237,Kabir Restaurant,Ahmedabad,"JB Tower, Opposite Doordarshan Kendra, Drive In Road, Gurukul, Ahmedabad",Gurukul,72.5239649,23.04850469,"North Indian, Chinese, Continental, Desserts, Fast Food, Sandwich",600,No,Yes,No,3.8,432,"['Kulfi', 'Dal Makhani', 'Orange Chicken', 'Szechwan Cuisine', 'Moussaka']"
113537,Puffizza,Ahmedabad,"103, Kairos, Opposite Mahatma Gandhi Labour Institute, Drive In Road, Gurukul, Ahmedabad",Gurukul,72.53774978,23.04619268,"Italian, Fast Food",700,No,Yes,No,4.3,744,"['Osso Buco', 'Lasagna', 'Ravioli', 'Gyros', 'Tacos']"
113703,Cafe Alfresco,Ahmedabad,"101, Dynamic House, Vijay Cross Road, Above HDFC Bank, Opposite Child Care Hospital, Navrangpura, Ahmedabad",Navrangpura,72.5498285,23.0437235,"Cafe, Beverages, Desserts, Pizza",700,No,Yes,No,4.0,404,"['Vienna Coffee', 'Latte', 'Flat White', 'Lassi', 'Wine']"
18385186,The Cafe Baraco,Ahmedabad,"34, Shribhuvan Complex, Near Memnagar Fire Station, Navrangpura, Ahmedabad",Navrangpura,72.5504755,23.0443367,"Cafe, Italian",600,No,Yes,No,4.4,317,"['Ristretto', 'Americano', 'Macchiato', 'Tiramisu', 'Minestrone Soup']"
113325,Nini's Kitchen,Ahmedabad,"12, First Floor, Camps Corner 2, Opposite Prahlad Nagar Garden, Prahlad Nagar, Ahmedabad",Prahlad Nagar,72.5072645,23.0117723,"North Indian, Continental, Beverages, Italian, Burger, Healthy Food, Mediterranean",950,No,Yes,No,4.5,1138,"['Palak Paneer', 'Tandoori Chicken', 'Fried Chicken', 'Fish Pie', 'Cocktail']"
111826,Yanki Sizzlers,Ahmedabad,"4, Ground Floor, Binori Ambit, Next to Renault Showroom, Thaltej Circle, Thaltej, Ahmedabad",Thaltej,72.5181257,23.0534466,"Continental, Italian, Chinese",1200,No,No,No,4.1,1041,"['Caprese Salad', 'Paella', 'Lasagna', 'Caprese Salad', 'Chilli Chicken']"
110516,The Garden Cafe - The Fern,Ahmedabad,"The Fern, Near Sola Overbridge, S G Highway, Sola, Ahmedabad",The Fern,72.5222172,23.0640914,"North Indian, Italian, Asian, South Indian",1200,No,No,No,4.1,192,"['Pani Puri', 'Palak Paneer', 'Naan', 'Gnocchi', 'Bruschetta']"
18371341,Mazzo,Ahmedabad,"27, Sunshine Villa, Sunrise Park Society, Vastrapur, Ahmedabad",Vastrapur,72.5281083,23.0418026,"Cafe, American, Continental, Armenian, Fast Food",550,No,Yes,No,3.9,166,"['Turkish Coffee', 'Vienna Coffee', 'Brownies', 'Meatloaf', 'NiÃ§oise Salad']"
113570,Turquoise Villa,Ahmedabad,"Ground Floor, Shanay - 1, Near AMA, IIM Road, Vastrapur, Ahmedabad",Vastrapur,72.5434513,23.0285142,Continental,1200,No,No,No,4.0,535,"['Risotto', 'Beef Wellington', 'Roast Beef', 'Cassoulet', 'Caprese Salad']"
2400020,Aryan Family's Delight,Allahabad,"Ground Floor, Vinayak City Centre, Sardar Patel Marg, Civil Lines, Allahabad",Civil Lines,81.834502,25.454648,"North Indian, South Indian, Fast Food",500,No,No,No,3.4,57,"['Rogan Josh', 'Gulab Jamun', 'Puttu', 'Pesarattu', 'Falafel']"
2400148,Bean Here,Allahabad,"Vinayak Pushp, 77 Elgin Road, Near Florista, Civil Lines, Allahabad",Civil Lines,81.83316667,25.45343611,"Cafe, Fast Food",350,No,No,No,3.3,76,"['Frappuccino', 'Macchiato', 'Breve', 'Sub Sandwich', 'Burger']"
2400019,Bikanerwala,Allahabad,"2A, JMD Bhawan, Strachey Road, Civil Lines, Allahabad",Civil Lines,81.832616,25.451517,"North Indian, Street Food, Fast Food",500,No,No,No,3.2,51,"['Aloo Paratha', 'Rajma', 'Kathi Roll', 'Vada Pav', 'Ice Cream']"
2400193,Dewsis,Allahabad,"2, MG Marg, Opposite Hanuman Mandir, Civil Lines, Allahabad",Civil Lines,0.0,0.0,"North Indian, Chinese",600,No,No,No,3.4,99,"['Paneer Tikka', 'Pav Bhaji', 'Rajma', 'Szechwan Cuisine', 'Chow Mein']"
2400027,Friends Forever,Allahabad,"13/13, Sardar Patel Marg, Civil Lines, Allahabad",Civil Lines,81.835585,25.457687,"North Indian, Chinese",600,No,No,No,3.4,83,"['Dal Makhani', 'Rajma', 'Kadai Paneer', 'Kung Pao Chicken', 'Manchurian']"
17960073,Hotel Ravisha Continental,Allahabad,"57 A, Purshottamdas Tandon Marg, Civil Lines, Allahabad",Civil Lines,0.0,0.0,"North Indian, South Indian, Chinese",600,No,No,No,3.4,18,"['Chole Bhature', 'Rajma', 'Dosa', 'Kerala Parotta', ""General Tso's Chicken""]"
2400119,KFC,Allahabad,"P Square Mall, Civil Lines, Allahabad",Civil Lines,81.839744,25.449659,"American, Fast Food",500,No,No,No,3.4,58,"['Mac and Cheese', 'Waffles', 'Fried Chicken', 'Fried Chicken', 'Gyros']"
2400014,McDonald's,Allahabad,"Shop 4, 34-B, M G Marg, Civil Lines, Allahabad",Civil Lines,81.834279,25.450329,Fast Food,400,No,No,No,3.3,53,"['Fish and Chips', 'Onion Rings', 'Donuts', 'Poutine', 'Milkshake']"
2400403,Pind Balluchi,Allahabad,"5-A, Sardar Patel Marg, Civil Lines, Allahabad",Civil Lines,0.0,0.0,"North Indian, Mughlai",800,No,No,No,3.2,6,"['Kadai Paneer', 'Rogan Josh', 'Chole Bhature', 'Mutton Korma', 'Jalebi']"
2400349,Pizza Hut,Allahabad,"31/31, Sardar Patel Marg, Civil Lines, Allahabad",Civil Lines,0.0,0.0,"Italian, Pizza",700,No,No,No,3.4,35,"['Polenta', 'Caprese Salad', 'Calzone', 'Spinach and Feta', 'Supreme']"
2400279,Subway,Allahabad,"207/53, Mahatma Gandhi Marg, Civil Lines, Allahabad",Civil Lines,0.0,0.0,"Fast Food, American, Salad, Healthy Food",400,No,No,No,3.4,32,"['Wraps', 'Onion Rings', 'Hot Dog', 'Meatloaf', 'Key Lime Pie']"
2400017,Tandoor Restaurant,Allahabad,"17/33, Mahatama Gandhi Marg, Civil Lines, Allahabad",Civil Lines,81.860187,25.443994,"North Indian, Chinese",500,No,No,No,3.2,151,"['Kadai Paneer', 'Gulab Jamun', 'Paneer Tikka', 'Orange Chicken', 'Kung Pao Chicken']"
18317988,The BrewMaster,Allahabad,"Near Vishal Megamart, Civil Lines, Allahabad",Civil Lines,81.83279631,25.45164569,"North Indian, Chinese, Italian",0,No,No,No,3.3,49,"['Rogan Josh', 'Pani Puri', 'Kung Pao Chicken', 'Chilli Chicken', 'Gnocchi']"
2400144,The Tamarind Tree,Allahabad,"60 C, Thornhill Road, Civil Lines, Allahabad",Civil Lines,81.834841,25.459775,"South Indian, Chinese",500,No,No,No,3.4,106,"['Sambhar', 'Dosa', 'Masala Dosa', 'Dim Sum', 'Spring Rolls']"
2400195,Cafe El Chico,Allahabad,"24, Mahatma Gandhi, Civil Lines, Allahabad",Civil Lines,81.83616667,25.44987222,"Continental, Italian",1000,No,No,No,3.6,59,"[""Shepherd's Pie"", 'Risotto', 'Greek Salad', 'Panini', 'Pasta']"
2400052,Eat On,Allahabad,"Palace Compound, Near Palace Cinema, MG Marg, Civil Lines, Allahabad",Civil Lines,81.834236,25.450377,North Indian,200,No,No,No,3.7,105,"['Aloo Paratha', 'Kadai Paneer', 'Gulab Jamun', 'Biryani', 'Pav Bhaji']"
2400016,Hot Stuff,Allahabad,"21 C, Lal Bhadhur Shastri Marg, Civil Lines, Allahabad",Civil Lines,81.841889,25.45235,"North Indian, Fast Food",500,No,No,No,3.5,105,"['Chicken Tikka Masala', 'Chole Bhature', 'Rajma', 'Milkshake', 'Onion Rings']"
2400293,Paradise,Allahabad,"19/35, MG Marg, Civil Lines, Allahabad",Civil Lines,81.83168056,25.45031667,"Desserts, Fast Food",500,No,No,No,3.6,57,"['Pantua', 'Kaju Katli', 'Kulfi', 'Fish and Chips', 'Tacos']"
2400009,Sagar Ratna,Allahabad,"3/3, Near Balson Crossing, Hashimpur Road, Tagore Town, Allahabad",Tagore Town,81.859682,25.457116,"South Indian, North Indian, Chinese, Continental",400,No,No,No,3.5,134,"['Appam', 'Dosa', 'Rava Dosa', 'Naan', 'Gulab Jamun']"
2400010,Moti Mahal Delux,Allahabad,"Second Floor, Vinayak City Center Mall, SP Marg, Civil Lines, Allahabad",Vinayak City Centre Mall,81.834492,25.454697,"Mughlai, North Indian, Chinese",800,No,No,No,3.3,58,"['Shahi Tukda', 'Murgh Musallam', 'Chaat', 'Paneer Tikka', 'Peking Duck']"
2200011,Makhan Fish and Chicken Corner,Amritsar,"21-A, Near Madaan Hospital, Majitha Road, Basant Nagar, Amritsar",Basant Nagar,74.884359,31.64362,"North Indian, Chinese",700,No,No,No,3.4,345,"['Chaat', 'Rajma', 'Butter Chicken', 'Chow Mein', 'Sesame Chicken']"
2200078,Charming Chicken,Amritsar,"Shop 3, Opposite Nari Nikaten, Majithia Road, Near Basant Nagar, Amritsar",Basant Nagar,74.884384,31.644532,North Indian,300,No,No,No,3.9,151,"['Butter Chicken', 'Aloo Paratha', 'Palak Paneer', 'Kadai Paneer', 'Dal Makhani']"
18204507,Ahuja Milk Bhandar,Amritsar,"Dhab Khatikan, Near Hindu College, Hathi Gate, Amritsar",Hathi Gate,0.0,0.0,Beverages,100,No,No,No,4.0,52,"['Water', 'Hot Chocolate', 'Soda', 'Juice', 'Cocktail']"
2200030,Crystal Restaurant,Amritsar,"Crystal Chowk, Queens Road, INA Colony, Amritsar",INA Colony,74.875878,31.635658,"North Indian, Mughlai",800,No,No,No,3.4,122,"['Chaat', 'Chole Bhature', 'Butter Chicken', 'Haleem', 'Mutton Rogan Josh']"
2200201,Brijwasi Chat Bhandar,Amritsar,"Crystal Chowk, Cooper Road, Near INA Colony",INA Colony,74.87575556,31.63488333,Street Food,150,No,No,No,3.6,56,"['Pizza', 'Empanadas', 'Kathi Roll', 'Kebab', 'Tacos']"
2200067,Bubby Fish & Chicken Corner,Amritsar,"Near Crystal Chowk, Cooper Road, INA Colony, Amritsar",INA Colony,74.875828,31.635671,North Indian,300,No,No,No,3.5,91,"['Chaat', 'Rajma', 'Chole Bhature', 'Butter Chicken', 'Kulfi']"
2200358,Bon Gateau,Amritsar,"SCF 27, C Block Market, Ranjit Avenue, Amritsar",Ranjit Avenue,0.0,0.0,"Cafe, Bakery, Fast Food",500,No,No,No,3.4,26,"['Ristretto', 'Breve', 'Tiramisu', 'Cupcake', 'Donuts']"
2200001,The Yellow Chilli,Amritsar,"108, GRD Towers, District Shopping Center, Ranjit Avenue, Amritsar",Ranjit Avenue,74.86276111,31.65558889,"North Indian, Mughlai, Chinese",1200,No,No,No,3.4,98,"['Kadai Paneer', 'Pani Puri', 'Pasanda', 'Chapli Kebab', 'Crab Rangoon']"
2200033,La Roma Pizzeria,Amritsar,"SCO 6, District Shopping Complex, Ranjit Avenue, Amritsar",Ranjit Avenue,74.86299167,31.65044167,"Fast Food, Italian",400,No,No,No,3.5,111,"['Burritos', 'Ice Cream', 'Tacos', 'Ravioli', 'Panna Cotta']"
2200283,Sakhis Watz Kukin,Amritsar,"M 47, Green Avenue, opp Main Park, Amritsar",Ranjit Avenue,74.8649101,31.6466891,"North Indian, Chinese",700,No,No,No,3.6,51,"['Kadai Paneer', 'Tandoori Chicken', 'Butter Chicken', 'Spring Rolls', 'Fried Rice']"
2200045,The Kulcha Land,Amritsar,"Opposite M.K Hotel, District Shopping Centre, Ranjit Avenue, Amritsar",Ranjit Avenue,74.86416667,31.65319167,"North Indian, Street Food",200,No,No,No,3.9,206,"['Rajma', 'Chicken Tikka Masala', 'Butter Chicken', 'Burger', 'Kathi Roll']"
2200149,Shudh Restaurant,Amritsar,"Opposite Gurudwara Saragarhi, Near Dharm Singh Market Chowk, Fuwara, Town Hall, Amritsar",Town Hall,74.87981389,31.62404722,"North Indian, South Indian, Chinese, Fast Food",600,No,No,No,3.4,44,"['Palak Paneer', 'Paneer Tikka', 'Rajma', 'Sambar', 'Idli']"
2200043,Bade Bhai Ka Brothers' Dhaba,Amritsar,"Near Amritsar Municipal Corporation, Town Hall, Amritsar",Town Hall,74.87461944,31.62394722,"North Indian, Fast Food",500,No,No,No,3.7,94,"['Palak Paneer', 'Chole Bhature', 'Tandoori Chicken', 'Ice Cream', 'Milkshake']"
2200044,Bharawan Da Dhaba,Amritsar,"Near Amritsar Municipal Corporation, Town Hall, Amritsar",Town Hall,74.87833333,31.62615278,"North Indian, Fast Food",500,No,No,No,3.5,461,"['Rogan Josh', 'Pav Bhaji', 'Biryani', 'Hot Dog', 'Wraps']"
2200132,Brothers Dhaba,Amritsar,"Golden Temple Out Road, Opposite Amritsar Municipal Corporation, Town Hall, Amritsar",Town Hall,74.877666,31.625981,North Indian,500,No,No,No,3.8,276,"['Aloo Paratha', 'Chole Bhature', 'Kulfi', 'Pav Bhaji', 'Kadai Paneer']"
2200236,Brothers' Amritsari Dhaba,Amritsar,"Phawara Chowk, Town Hall, Amritsar",Town Hall,74.87957778,31.62261111,North Indian,400,No,No,No,3.8,71,"['Biryani', 'Dal Makhani', 'Rajma', 'Butter Chicken', 'Gulab Jamun']"
2200175,Gurdas Ram Jalebi Wala,Amritsar,"Near Golden Temple, Town Hall, Amritsar",Town Hall,0.0,0.0,Mithai,100,No,No,No,4.1,104,"['Mysore Pak', 'Coconut Barfi', 'Gulab Jamun', 'Ghevar', 'Laddu']"
2200000,Kesar Da Dhabha,Amritsar,"Near Telephone Exchange, Chowk Passian, Shastri Market, Near Town Hall, Amritsar",Town Hall,74.873005,31.624386,North Indian,500,No,No,No,4.1,878,"['Aloo Paratha', 'Paneer Tikka', 'Kadai Paneer', 'Lassi', 'Rogan Josh']"
2200055,Beera Chicken Corner,Amritsar,"Opposite Bandari Hospital, Sehaj Avenue, Majitha Road, Near White Avenue, Amritsar",White Avenue,74.883997,31.641991,North Indian,500,No,No,No,3.8,192,"['Rajma', 'Naan', 'Chaat', 'Chicken Tikka Masala', 'Butter Chicken']"
2200034,Surjit Food Plaza,Amritsar,"Shop 4, Nehru Shopping Complex, Lawrence Road, White Avenue, Amritsar",White Avenue,74.877002,31.644818,North Indian,1000,No,No,No,3.5,96,"['Dal Makhani', 'Pani Puri', 'Biryani', 'Paneer Tikka', 'Chaat']"
2200153,Kanha Sweets,Amritsar,"Shop 1, Opposite Bijli Pehalwan Mandir, Lawrence Road, White Avenue, Amritsar",White Avenue,0.0,0.0,Fast Food,150,No,No,No,4.1,140,"['Tacos', 'Ice Cream', 'Burritos', 'Falafel', 'Wraps']"
2500023,Kream N Krunch,Aurangabad,"2, Near Akashwani Circle, Mahesh Nagar, Jalna Road, Akashwani, Aurangabad",Akashwani,75.34601667,19.87621944,"North Indian, Chinese, Continental, Italian",800,No,No,No,3.6,240,"['Butter Chicken', 'Samosa', 'Rogan Josh', 'Dim Sum', 'Dumplings']"
2500076,Balbeer's Kitchen & Bar,Aurangabad,"Shendra, Near Cambridge School, Jalna Road, Chicalthana, Aurangabad",Chicalthana,0.0,0.0,"Italian, Continental, Chinese, North Indian",850,No,No,No,3.3,65,"['Risotto', 'Pizza', 'Polenta', 'Caprese Salad', 'Ratatouille']"
2500054,Angeethi Restaurant,Aurangabad,"Seven Hill Flyover, Jalna Road, Vidya Nagar, CIDCO, Aurangabad",CIDCO,75.35394167,19.87473333,"North Indian, Chinese",600,No,No,No,3.3,63,"['Kadai Paneer', 'Samosa', 'Chole Bhature', 'Cantonese Cuisine', 'Szechwan Cuisine']"
2500134,Domino's Pizza,Aurangabad,"8, Upper Ground Floor, City Pride Commercial Complex, Kali Bawdi, Jalna Road, CIDCO, Aurangabad",CIDCO,75.340775,19.87610556,Pizza,700,No,No,No,3.1,19,"['Vegetarian', 'Supreme', 'Mushroom', 'Capricciosa', 'Pesto']"
2500069,Hotel Laadli,Aurangabad,"Goodwill Complex, Opposite Cidco Busstand, N-2, CIDCO, Aurangabad",CIDCO,75.3671268,19.8755223,"North Indian, South Indian",350,No,No,No,3.4,46,"['Palak Paneer', 'Pav Bhaji', 'Butter Chicken', 'Sambar', 'Rasam']"
2500256,Indiana Veg Restaurant,Aurangabad,"Plot 2, Near High Court, N-3, CIDCO, Aurangabad",CIDCO,75.360232,19.874449,"South Indian, North Indian, Chinese, Fast Food",450,No,No,No,3.4,75,"['Kerala Parotta', 'Bisi Bele Bath', 'Dosa', 'Naan', 'Tandoori Chicken']"
2500024,Madhuban Restaurant - Welcome Hotel Rama International,Aurangabad,"Welcome Hotel Rama International, Opposite High Court, CIDCO, Aurangabad",CIDCO,75.358888,19.875908,"North Indian, Chinese, Continental, Italian, Mexican",1800,No,No,No,3.4,94,"['Pav Bhaji', 'Aloo Paratha', 'Spring Rolls', 'Sweet and Sour Chicken', 'Risotto']"
2500075,Mauj Restaurant,Aurangabad,"31, Kailash Arcade, Opposite Bank of Baroda, Connaught Place, CIDCO, Aurangabad",CIDCO,75.36479167,19.87642778,"Italian, Fast Food, North Indian, Chinese",500,No,No,No,3.3,47,"['Osso Buco', 'Pasta', 'Caprese Salad', 'Tacos', 'Chicken Sandwich']"
2500029,Naivedya,Aurangabad,"Sakal Office, Jalna Road, CIDCO, Aurangabad",CIDCO,75.3684187,19.874103,North Indian,500,No,No,No,3.4,71,"['Chole Bhature', 'Butter Chicken', 'Pani Puri', 'Chicken Tikka Masala', 'Paneer Tikka']"
